City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,37.51,clear sky,-53.15,-70.9167,Hotel Hain
1,Kuusamo,FI,48.24,clear sky,65.9667,29.1833,Hotel Kuusanka
2,Gladstone,AU,69.73,clear sky,-23.85,151.25,Highpoint International Hotel
3,Saint-Philippe,RE,65.21,scattered clouds,-21.3585,55.7679,Le four à pain
4,Whitehorse,CA,56.17,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
5,Tiksi,RU,49.17,scattered clouds,71.6872,128.8694,Arktika
7,Hobart,AU,53.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
9,Yellowknife,CA,61.32,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
10,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
11,Saldanha,ZA,46.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
14,Mataura,NZ,41.49,broken clouds,-46.1927,168.8643,Ellie's Villa
15,Bredasdorp,ZA,46.53,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Bilibino,RU,57.94,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
20,Kruisfontein,ZA,50.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
22,Cidreira,BR,63.19,overcast clouds,-30.1811,-50.2056,Hotel Castelo
23,Chokurdakh,RU,69.31,scattered clouds,70.6333,147.9167,
24,Mount Gambier,AU,55.31,overcast clouds,-37.8333,140.7667,The Commodore
25,Cape Town,ZA,57.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
28,Ushuaia,AR,35.26,scattered clouds,-54.8,-68.3,Albatross Hotel
29,Karratha,AU,67.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
30,Avarua,CK,69.85,scattered clouds,-21.2078,-159.775,Paradise Inn
31,Ulagan,RU,54.54,scattered clouds,50.6321,87.9563,Gostevoy Dom
32,Chuy,UY,57.7,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Antalaha,MG,66.4,light rain,-14.9003,50.2788,Hotel Vitasoa
37,Bluff,NZ,41.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
38,Kachiry,KZ,63.9,clear sky,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
39,Qaanaaq,GL,40.55,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
41,Clyde River,CA,41.23,mist,70.4692,-68.5914,Qamaq Hotel
42,Carnarvon,AU,58.48,clear sky,-24.8667,113.6333,Hospitality Carnarvon
48,Esperance,AU,52.61,clear sky,-33.8667,121.9,Hospitality Esperance
49,Muros,ES,61.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
51,Asau,RO,65.32,broken clouds,46.4333,26.4,Casa Mika Ciobanus
55,Makubetsu,JP,64.11,broken clouds,45.3714,141.8211,RED BARON Bike Station Wakkanai
58,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Airai,TL,66.07,overcast clouds,-8.9266,125.4092,
63,Kaitangata,NZ,44.04,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
64,Marystown,CA,66.85,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
65,Busselton,AU,60.13,overcast clouds,-33.65,115.3333,Observatory Guest House
68,Narsaq,GL,49.51,overcast clouds,60.9167,-46.05,Sleep In Narsaq
72,Dunedin,NZ,46.71,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
75,Nanortalik,GL,46.83,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
77,Kamenka,RU,61.81,overcast clouds,51.3223,42.7678,
78,Cherskiy,RU,62.38,few clouds,68.75,161.3,Gostinitsa
80,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
81,Fortuna,US,64.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
82,Hermanus,ZA,49.42,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Tuktoyaktuk,CA,46.4,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
