City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,9.22,clear sky
1,Kuusamo,FI,65.9667,29.1833,48.24,100,0,3.44,clear sky
2,Gladstone,AU,-23.85,151.25,69.73,56,0,10.36,clear sky
3,Saint-Philippe,RE,-21.3585,55.7679,65.21,76,39,6.76,scattered clouds
4,Whitehorse,CA,60.7161,-135.0538,56.17,82,100,8.05,overcast clouds
5,Tiksi,RU,71.6872,128.8694,49.17,72,40,2.98,scattered clouds
6,San Andres,CO,12.5847,-81.7006,84.22,74,40,10.36,scattered clouds
7,Hobart,AU,-42.8794,147.3294,53.26,95,75,5.75,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,75.4,80,33,15.75,scattered clouds
9,Yellowknife,CA,62.456,-114.3525,61.32,88,75,10.36,light intensity shower rain
10,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,9.22,broken clouds
11,Saldanha,ZA,-33.0117,17.9442,46.45,63,0,9.55,clear sky
12,Goderich,CA,43.7501,-81.7165,75.52,83,39,10.36,scattered clouds
13,Jamestown,US,42.097,-79.2353,74.79,83,97,5.99,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,41.49,76,51,4.32,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,46.53,89,0,6.49,clear sky
16,Auki,SB,-8.7676,160.7034,87.39,55,12,3.65,few clouds
17,Arrifes,PT,37.7667,-25.7,70.05,94,40,5.75,scattered clouds
18,Bilibino,RU,68.0546,166.4372,57.94,46,40,13.04,scattered clouds
19,Albany,US,42.6001,-73.9662,75.58,83,99,6.51,overcast clouds
20,Kruisfontein,ZA,-34.0033,24.7314,50.88,82,86,3.42,overcast clouds
21,Vaini,TO,-21.2,-175.2,77.16,78,20,11.5,few clouds
22,Cidreira,BR,-30.1811,-50.2056,63.19,89,100,5.57,overcast clouds
23,Chokurdakh,RU,70.6333,147.9167,69.31,34,40,11.3,scattered clouds
24,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,13.8,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,57.38,82,0,2.3,clear sky
26,Anito,PH,12.4497,125.2886,82.98,77,53,0.29,broken clouds
27,Carutapera,BR,-1.195,-46.02,76.17,91,100,5.14,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,35.26,64,40,5.75,scattered clouds
29,Karratha,AU,-20.7377,116.8463,67.35,34,0,24.45,clear sky
30,Avarua,CK,-21.2078,-159.775,69.85,68,40,9.22,scattered clouds
31,Ulagan,RU,50.6321,87.9563,54.54,77,38,1.21,scattered clouds
32,Chuy,UY,-33.6971,-53.4616,57.7,98,99,4.97,overcast clouds
33,Ribeira Grande,PT,38.5167,-28.7,74.23,90,11,5.5,few clouds
34,San Cristobal,VE,7.7669,-72.225,73.58,91,4,2.77,clear sky
35,Bubaque,GW,11.2833,-15.8333,78.37,83,100,5.99,overcast clouds
36,Antalaha,MG,-14.9003,50.2788,66.4,88,56,6.2,light rain
37,Bluff,NZ,-46.6,168.3333,41.81,78,62,11.39,broken clouds
38,Kachiry,KZ,53.0675,76.1036,63.9,53,0,3.02,clear sky
39,Qaanaaq,GL,77.484,-69.3632,40.55,92,100,0.38,overcast clouds
40,Bethel,US,41.3712,-73.414,82.76,79,90,3.42,overcast clouds
41,Clyde River,CA,70.4692,-68.5914,41.23,100,100,12.66,mist
